,word,x,y
0,file,-0.36280927,1.7367351
1,DI,0.70983475,0.7202876
2,STAF,0.83811486,-0.1937595
3,BILLY,-0.2550332,-0.56135625
4,PROJECT,0.19267249,0.11638101
5,MOBILE,0.4699158,1.310476
6,PDF,0.996069,-0.87851155
7,Indo,-0.24598871,-0.105595745
8,RESULT,-0.1887057,-1.7590414
9,PTL,-0.75383306,-0.16056807
10,PrintDraft,0.0923229,-0.13312429
11,pdf,1.383793,1.0860697
12,alkitab,0.3537406,0.0037785973
13,title,-0.26586547,0.67315334
14,pll,-1.4855223,0.78053904
15,html,1.0120434,-0.00011619608
16,Alkitab,0.3768577,-0.6800159
17,Terjemahan,-0.7368727,-1.5758139
18,Lama,0.18819375,1.7052424
19,PM,0.2315242,-0.07491764
20,Kejadian,0.40072173,1.652398
21,I,0.45543152,1.6599891
22,Bahwa,0.3898047,-0.7223379
23,pada,0.04639427,-1.2986662e-05
24,mula,0.34513843,-0.08764825
25,pertama,-0.23917715,-0.14044996
26,dijadikan,-0.2548782,0.64158106
27,Allah,-0.3909565,1.2787038
28,akan,0.046385583,-1.9681182e-05
29,langit,1.5314568,0.8371232
30,dan,0.046389233,-1.3069432e-05
31,bumi,1.3661637,1.1084673
32,Maka,0.04641074,-1.3391198e-05
33,itu,0.046387523,-1.3409237e-05
34,lagi,0.04639441,6.807415e-06
35,campur,-0.06612556,-0.20156401
36,baur,-1.1596428,0.40367052
37,adanya,-0.31889942,0.68775403
38,yaitu,-0.65568686,-1.0157846
39,suatu,-1.1511995,0.3818965
40,hal,0.04638926,-4.5682937e-06
41,yang,0.04641201,-1.0881369e-05
42,ketutupan,1.2411547,-0.4031515
43,kelam,1.386202,-0.3583716
44,kabut,0.7679148,0.5815177
45,maka,0.04639106,-1.3056766e-05
46,Roh,-0.6622916,1.1836973
47,layang,0.38975963,-0.926028
48,di,0.04639108,-1.3000412e-05
49,atas,0.046390854,-1.5450623e-05
50,muka,1.4074165,-0.31142947
51,air,0.24663717,-0.09508664
52,firman,-0.97111744,0.3175525
53,Hendaklah,1.8081542,-0.23793973
54,ada,0.04639065,-7.0040624e-06
55,terang,0.11284416,1.0658152
56,Lalu,-1.0811898,-0.2515435
57,jadilah,-1.6333748,0.4979267
58,dilihat,0.02788288,-0.006519268
59,baiklah,1.014751,-0.035546754
60,lalu,-1.4576448,0.852086
61,diceraikan,-0.38533303,-0.46975288
62,dengan,0.04639048,-1.3221143e-06
63,gelap,-0.29371423,0.7024744
64,dinamai,-0.8770359,0.9104811
65,siang,0.5885483,-0.12378958
66,malam,0.28504258,-0.27862632
67,Setelah,1.4899968,-0.16784461
68,petang,-0.73481476,1.6152316
69,pagi,-0.028333561,0.016940242
70,itulah,0.24627191,-0.09620583
71,hari,0.046395898,-1.3183864e-05
72,bentangan,-0.6921313,-1.0168197
73,sama,0.46101654,-0.28843588
74,tengah,1.360417,0.46938553
75,supaya,-1.1736363,0.37105873
76,diceraikannya,-0.5555498,-0.007709114
77,serta,-0.82488316,0.22840415
78,bawah,0.13754855,0.092218906
79,demikian,0.4598523,-0.29998684
80,T,-1.635101,0.4949569
81,kedua,0.33690158,-1.7217177
82,segala,0.04639107,-3.2141252e-06
83,berhimpun,0.8171617,0.5327277
84,kepada,0.046390675,-1.4237157e-06
85,satu,0.046427354,-1.2452812e-05
86,tempat,0.046390798,-1.32865935e-05
87,kelihatan,1.1281263,1.2137522
88,kekeringan,-0.33643112,0.33139306
89,darat,-0.8220945,1.5712384
90,perhimpunan,-0.3342653,0.6694698
91,dinamainya,1.3558117,-1.2170644
92,laut,1.7083653,0.5238399
93,menumbuhkan,0.39102855,-1.342124
94,rumput,1.024434,-0.4928422
95,pokok,-1.1615487,0.3309876
96,berbiji,1.6152662,-0.8321207
97,pohon,-0.38835183,0.07034289
98,berbuah,-0.34843957,0.32742956
99,buah,-0.3357313,-1.0951867
100,tabiatnya,1.2262701,-1.3444026
101,dalamnya,-0.22685935,1.252807
102,ditumbuhkan,0.109707125,1.7078432
103,ketiga,0.21956794,0.7246322
104,beberapa,-1.6819565,0.16030188
105,benda,0.24981524,1.1826618
106,dalam,0.046412844,-8.829618e-06
107,menjadi,0.045587793,-0.00044826942
108,tanda,-0.23465809,-0.5582326
109,ketentuan,0.16982007,-1.1937009
110,masa,-1.158036,-0.27136564
111,tahun,0.9372044,0.25503638
112,ia,0.04638776,-1.5303096e-05
113,menerangkan,0.27412155,1.6464187
114,besar,-0.24172,-0.5476164
115,memerintahkan,-0.9746867,-1.4354305
116,kecil,1.7454765,0.20215575
117,bintangpun,1.2491553,0.35380724
118,ditaruh,-0.2402214,-0.14010248
119,dia,0.046393905,-1.1367061e-05
120,memberi,1.0104889,0.002595662
121,menceraikan,-1.2064154,0.31756306
122,keempat,-1.407747,-0.96086204
123,menggeriak,-0.3202474,-1.2000589
124,kejadian,1.5219908,-0.16493052
125,bernyawa,-1.0736187,-0.38540745
126,sulur,0.14488451,-1.0559556
127,menyulur,0.6455332,-0.093163535
128,hendaklah,-0.28582856,0.0197317
129,unggas,-0.6369514,-1.0297676
130,terbang,0.738349,1.1207383
131,ikan,-0.38494033,-0.4964758
132,raya,-0.10590563,0.694677
133,binatang,0.35411748,0.012761451
134,tiap,-1.3562285,1.036146
135,bersayap,-0.2789836,0.23140943
136,diberkati,0.72641444,-0.85062534
